time,shoulder_flex_angle_filt,shoulder_add_angle_filt,elbow_flex_angle_filt,lumbar_angle_filt,shoulder_flex_vel_filt,shoulder_add_vel_filt,elbow_flex_vel_filt,lumbar_vel_filt,shoulder_flex_acc_filt,shoulder_add_acc_filt,elbow_flex_acc_filt,lumbar_acc_filt
0.03,-0.43008742643561243,-0.011717430017336584,0.8201473964088608,0.13517021049012057,0.4843124744798524,-0.21962161194893604,0.10358533257950084,0.20132693753713693,-18.346218136420475,2.034468066998387,8.492483662642769,2.7422292477583334
0.04,-0.6208099593455573,0.07995470781352416,1.0439313954408764,0.24735391481197494,-1.7152857565111366,0.7881519696474052,2.427958827886284,1.0128852534834767,-34.7852688773885,9.587729740894503,20.116756722677355,3.186944028265842
0.05,-0.8101027976296978,0.17098353510154693,1.2661770749574455,0.3583236406435218,-3.9132001277236563,1.7906957470775253,4.717019261909635,1.8004702453471377,-50.26421432827016,16.94509837753979,31.001860446252266,3.3677432320169185
0.06,-0.9974325611319051,0.2611001393799003,1.4859402525290737,0.46678741929106293,-6.078413613259152,2.7743677418508903,6.932628764523443,2.543212439577087,-64.26627806455267,23.897310675758803,40.76968419767374,3.180199708985496
0.07,-1.1823890409597004,0.3500945555288184,1.7023589540491684,0.5714974578309556,-8.180341767092854,3.726008558618258,9.0385121652375,3.2214422185203797,-76.31091590278366,30.243746982340536,49.08021644058899,2.535601052581745
0.08,-1.3646865954760312,0.4378167444709914,1.9146619298678909,0.6712774578219666,-10.18955533463737,4.633256913293139,11.001292521767029,3.817323170006031,-85.97121764441154,35.79860686821976,55.644789664589084,1.365419066681868
0.09,-1.5441613041748108,0.5241753412219031,2.1221755122610375,0.7650477898541419,-12.07844409424299,5.484821902416546,12.791411652223129,4.315413401978152,-92.88973180427514,40.39651190837634,60.23737679806248,-0.37501594952781186
0.1,-1.720763964622214,0.6091341740860146,2.3243288398436595,0.8518478076845482,-13.82180326107994,6.270702823219359,14.38390390086646,4.703134173512521,-96.79212512941739,43.8973409788158,62.703461853197524,-2.7038093159065606
0.11,-1.8945491538927877,0.6927066334369413,2.520657468123456,0.9308546918611499,-15.39732982549978,6.982350807416751,15.75899990539144,4.971130344340172,-97.49818644884822,46.19014766023606,62.96612992139317,-5.61088820921903
0.12,-2.065660712227718,0.774948046328869,2.71080537534607,1.0013983393321326,-16.78602225752982,7.61277004883327,16.90254612057697,5.113512689749018,-94.92979569408077,47.19605720944599,61.02915480307299,-9.057550132145062
0.13,-2.234314140082964,0.8559462896803766,2.8945253642431337,1.062971957749893,-17.972482613251124,8.156559741266312,17.806234685935323,5.127977708486605,-89.1155971032411,46.87008884075598,56.97699839651448,-12.977189301730904
0.14,-2.400776527006597,0.9358109472309537,3.071677858219956,1.115238175700826,-18.945124874994836,8.609900810294812,18.467646429331154,5.015805871801192,-80.19223503407292,45.20189513292431,50.9717675852036,-17.277164302262342
0.15,-2.5653447477966136,1.0146613809540075,3.2422280988459544,1.1580306371609925,-19.696297109200334,8.970493985806465,18.890117022008038,4.781744087402557,-68.40212687184446,42.215452194322346,43.24729610570049,-21.841722473388455
0.16,-2.7283227629373483,1.092614142984872,3.4062417721834244,1.1913512039002836,-20.22232760337048,9.237457634417497,19.082442303007777,4.433782307833172,-54.0878566265483,37.967770281234976,34.10062634477538,-26.53585498569136
0.17,-2.889998940147312,1.169770196174575,3.5638791240569354,1.2153630368897663,-20.52350651176273,9.411195010171527,19.058443433920925,3.9828375797793454,-37.68337228559906,32.546723890902264,23.88125600412267,-31.209922768390758
0.18,-3.0506243653648717,1.246202437106997,3.7153876664253573,1.2303799607134913,-20.60401474553398,9.493241183942056,18.836415778834724,3.442361342521666,-19.702257962096986,26.068122435478585,12.978585013816886,-35.70486827465027
0.19,-3.2103931286302716,1.3219440224364907,3.8610936251011028,1.2368526279221648,-20.471811003021617,9.486099905655916,18.43848725618004,2.827887420180554,-0.7234272090307954,18.672157360029647,1.8080479406564347,-39.85781190490342
0.2,-3.3694255485646414,1.3969779863137273,4.00139232931901,1.2353520886831857,-20.138486120246718,9.393080094533861,17.889912468907987,2.1565389347794013,18.625353989069563,10.519369272157958,-9.203553681375508,-43.507824732524334
0.21,-3.5277552360051776,1.4712286032525594,4.136737792215382,1.2265514318134638,-19.61909154121113,9.218140617685354,17.21832832668628,1.446512351120724,37.68565714833023,1.7862798733796856,-19.632995482414103,-46.50167058358344
0.22,-3.6853207925953178,1.544554898062694,4.267631774446528,1.2112061945026233,-18.93194589849758,8.965750598362744,16.45299530470347,0.7165561336180778,55.78780081101626,-7.33917097881189,-29.075336683930512,-48.69931978670495
0.23,-3.841962795774385,1.6167466345924546,4.39461265765749,1.1901342391603011,-18.098420705245914,8.640770793210415,15.624046138132133,-0.01453984581551292,72.2709628060463,-16.662251935995354,-37.15790087120304,-49.97905304685247
0.24,-3.997426541715452,1.6875230310845921,4.518244477506495,1.1641957674772414,-17.14270323659229,8.248359698378696,14.76176084120386,-0.7284298419614273,86.50346655917836,-25.986012268416022,-43.55308388386741,-50.24199573546988
0.25,-4.151370807839906,1.756534355593976,4.639106475036234,1.134274085883755,-16.09153205550284,7.79390609225839,13.895883678168344,-1.407660602239323,97.90271187070817,-35.115696583160044,-47.98959432311012,-49.415949134041085
0.26,-4.303382662810115,1.8233664539114138,4.757783518077795,1.101257656357479,-14.973898523793977,7.282987797830545,13.054994304600944,-2.0360728860636117,105.95422984384469,-43.86291628439455,-50.26179426968787,-47.45841446710897
0.27,-4.45299810079708,1.8875481583621045,4.874857718960122,1.0660238664080612,-13.820706209812467,6.721354641734532,12.265941929270754,-2.5991490014190353,110.22936035831717,-52.049509406787315,-50.23687662376407,-44.35873656603198
0.28,-4.599728015109188,1.9485614220463674,4.9909015295820645,1.0294248373626467,-12.664379494747477,6.114931980191598,11.553348183232552,-3.084301757668682,110.401078007897,-59.51103759280412,-47.85968844498557,-40.13932542600471
0.29,-4.74308876158774,2.005853922747364,5.106472529617528,0.9922754666041196,-11.538412978535225,5.469839820186722,10.939181559379307,-3.4811026569615695,106.2575282181775,-66.09988501816387,-43.15508437414345,-34.85594457008015
0.3,-4.882636303420029,2.058853786891528,5.222110039604771,0.9553437731424376,-10.476854532616436,4.792421538767165,10.44240390547254,-3.7814493684554344,97.71287888048052,-71.68793840786189,-36.2277684558697,-28.59708397078404
0.31,-5.018002686330859,2.106985999474216,5.3383335909382374,0.9193434926798514,-9.513717027911111,4.089275528654427,10.078687585390824,-3.9796744777437674,84.8151438925286,-76.16883950773504,-27.259654511233215,-21.482461427839443
0.32,-5.148933377524204,2.149689993373079,5.455643173949138,0.8849287536651975,-8.68231681900413,3.3672827927455615,9.860200600904701,-4.072599125029555,67.7506931293888,-79.45981123458796,-16.504842966923512,-13.660719073044248
0.33,-5.2753238246699325,2.186437853303127,5.574521069355971,0.8526905646670317,-8.01454087816127,2.633623575455902,9.795456189737116,-4.05953640569514,46.845228206254305,-81.50306613724088,-4.282374361109179,-5.306400580925377
0.34,-5.397253463769673,2.216752527842987,5.695434954484432,0.8231547599664952,-7.540048890029304,1.8957765418593662,9.889223153471605,-3.9422502909665544,22.561074498175685,-82.26681082846028,9.033024472228146,3.3836905862827082
0.35,-5.5150153367685295,2.2402254190755966,5.81884187134733,0.7967809880193778,-7.285421446546076,1.1614947688713997,10.142493361403034,-3.7248763373397233,-4.509283308394702,-81.7458628921085,23.021937105906087,12.194641082601198
0.36,-5.629139478964474,2.2565327144096177,5.945192556132392,0.773962288957632,-7.273270498314176,0.438753856722998,10.55250344044908,-3.4138106106391293,-33.65341307065392,-79.96189773685035,37.23269216194385,20.89796861866258
0.37,-5.740408307444869,2.2654498392756506,6.074935565054123,0.7550247942672262,-7.521333178681583,-0.2643312460438188,11.112808495178628,-3.0175730874932034,-64.05279956898542,-76.96334234320993,51.194898709184955,29.25643450053457
0.38,-5.8498623870128394,2.266863442056879,6.208520594874012,0.7402270948312323,-8.041574763568995,-0.9396226424806804,11.81340669181523,-2.546651358699785,-94.8001778657016,-72.82493127143715,64.43372144061006,37.02900962483598
0.39,-5.958795169033897,2.260780372643486,6.346400391640886,0.7297588621658695,-8.839330605944816,-1.5791094618027948,12.640914565431558,-2.0133297992230546,-124.92006205185898,-67.64693812192715,76.48451933088822,43.97588025614873
0.4,-6.06873558893014,2.2473331817976834,6.489030671432531,0.7237383702215919,-9.912520140408377,-2.1750901154372793,13.57879385023591,-1.4315085479551515,-153.39210609654413,-61.5540933197459,86.9074645187558,49.8633870346862
0.41,-6.181417765284255,2.226781748196817,6.636867544243406,0.7222086487279612,-11.250968262199361,-2.7203839106164134,14.607631374933943,-0.8165157191547654,-179.17684616608065,-54.69419704972509,95.30175937926442,54.46879987870931
0.42,-6.298737461308588,2.1995107314840077,6.7903620376952345,0.7251320998100067,-12.835870347829971,-3.208567543658028,15.705474006866952,-0.18491530869472805,-201.24329100922475,-47.23643476338705,101.31907888565172,57.584842185729464
0.43,-6.422695439342069,2.166022650606093,6.949951460616477,0.7323835226870914,-14.639436742651844,-3.634230578498285,16.848220685694248,0.44568767897424727,-218.59775122031732,-39.36940220539274,104.67588209242119,59.02388944104161
0.44,-6.555328350329156,2.126926494698079,7.116047525654578,0.7437416112967922,-16.624750582965852,-3.993242791259164,18.010073197522644,1.0568442191651704,-230.31323192563255,-31.298847570513,105.16426053694218,58.621779489656184
0.45,-6.698628339477954,2.0829218862288092,7.289021360461444,0.758879111047157,-18.74586929021613,-4.2830252752976055,19.164046466913387,1.6294604469522507,-235.558659256773,-23.245140312752433,102.66102214946635,56.241183851149714
0.46,-6.8544530999427415,2.0347789305216346,7.469185771052307,0.7773519380149408,-20.948194975401467,-4.502816490751696,20.282537778543347,2.1439996866717457,-233.62717139178247,-15.440479298841083,97.1347464263151,51.774501158420435
