time,eul_z_sensor1,eul_y_sensor1,eul_x_sensor1,gyro_x_sensor1,gyro_y_sensor1,gyro_z_sensor1,linacc_x_sensor1,linacc_y_sensor1,linacc_z_sensor1,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1
0.02,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.04,0.1,0.69,0.06,0.72,0.06
0.03,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.03,0.07,0.69,0.06,0.72,0.06
0.04,9.81,88.19,179.87,0.0,0.0,0.0,0.13,0.05,0.07,0.69,0.06,0.72,0.06
0.05,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.03,0.09,0.69,0.06,0.72,0.06
0.06,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.05,0.69,0.06,0.72,0.06
0.07,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.1,0.69,0.06,0.72,0.06
0.08,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
0.09,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.07,0.69,0.06,0.72,0.06
0.1,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.08,0.69,0.06,0.72,0.06
0.11,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.08,0.69,0.06,0.72,0.06
0.12,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.1,0.69,0.06,0.72,0.06
0.13,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.08,0.69,0.06,0.72,0.06
0.14,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.06,0.69,0.06,0.72,0.06
0.15,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
0.16,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.07,0.69,0.06,0.72,0.06
0.17,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.1,0.69,0.06,0.72,0.06
0.18,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.06,0.69,0.06,0.72,0.06
0.19,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.07,0.69,0.06,0.72,0.06
0.2,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.09,0.69,0.06,0.72,0.06
0.21,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.07,0.69,0.06,0.72,0.06
0.22,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.06,0.69,0.06,0.72,0.06
0.23,9.81,88.19,179.87,0.0,0.01,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
0.24,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.1,0.69,0.06,0.72,0.06
0.25,9.81,88.19,179.87,0.0,0.0,0.0,0.06,0.05,0.1,0.69,0.06,0.72,0.06
0.26,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.08,0.69,0.06,0.72,0.06
0.27,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.04,0.08,0.69,0.06,0.72,0.06
0.28,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.03,0.08,0.69,0.06,0.72,0.06
0.29,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
0.3,9.81,88.19,179.87,0.0,0.01,0.0,0.1,0.03,0.09,0.69,0.06,0.72,0.06
0.31,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.07,0.07,0.69,0.06,0.72,0.06
0.33,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
0.34,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.07,0.69,0.06,0.72,0.06
0.35,9.81,88.19,179.87,0.0,0.01,0.0,0.07,0.05,0.08,0.69,0.06,0.72,0.06
