time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2
0.59,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.6,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.0,0.69,0.03,0.72,0.02
0.61,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.02,0.69,0.03,0.72,0.02
0.62,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.02,0.69,0.03,0.72,0.02
0.63,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.02,0.69,0.03,0.72,0.02
0.64,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.65,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
0.67,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.68,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.0,0.69,0.03,0.72,0.02
0.69,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.01,0.69,0.03,0.72,0.02
0.7,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
0.71,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
0.72,356.25,87.94,179.81,0.0,0.0,0.0,0.32,0.02,0.0,0.69,0.03,0.72,0.02
0.73,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.74,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.75,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.77,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.0,0.69,0.03,0.72,0.02
0.78,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.79,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.8,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.81,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.01,0.69,0.03,0.72,0.02
0.82,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.01,0.0,0.69,0.03,0.72,0.02
0.83,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.84,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.01,0.69,0.03,0.72,0.02
0.85,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.87,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.0,0.69,0.03,0.72,0.02
0.88,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.0,0.69,0.03,0.72,0.02
0.89,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.9,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
0.91,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
0.92,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
0.93,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.94,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.02,0.69,0.03,0.72,0.02
0.95,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.0,0.69,0.03,0.72,0.02
0.96,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
0.97,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.98,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
1.0,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.02,0.69,0.03,0.72,0.02
1.01,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
1.02,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.02,0.69,0.03,0.72,0.02
1.03,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.02,0.69,0.03,0.72,0.02
1.04,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
1.05,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.06,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
1.08,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.02,0.69,0.03,0.72,0.02
1.09,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.1,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
1.11,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.04,0.01,0.69,0.03,0.72,0.02
1.12,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.0,0.69,0.03,0.72,0.02
1.13,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.01,0.69,0.03,0.72,0.02
1.14,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.02,0.69,0.03,0.72,0.02
