time,shoulder_flex_angle_filt,shoulder_add_angle_filt,elbow_flex_angle_filt,lumbar_angle_filt,shoulder_flex_vel_filt,shoulder_add_vel_filt,elbow_flex_vel_filt,lumbar_vel_filt,shoulder_flex_acc_filt,shoulder_add_acc_filt,elbow_flex_acc_filt,lumbar_acc_filt
0.02,-0.23344511776436033,-0.036818804964161955,0.43385001399229345,-0.18562568173621408,-3.2321442392573867,-0.5156478528095965,1.1790319043905255,-0.8565997963347913,-15.760665665147611,-1.1514895430509746,2.5223355418239914,2.5075867009426536
0.03,-0.4581906741200577,-0.28545221522295877,0.4837248722015677,-0.12689224258876805,-4.439409380421235,-3.356482604108777,1.2697126278854463,2.651439441408062,21.801968778281626,-16.808245204150385,-8.522161684043137,49.6566096570546
0.04,-0.6890483691826622,-0.5327173635280034,0.5350825307743002,-0.06287612112282034,-5.504971787576916,-6.135336765139664,1.307617677645113,6.1809716886820345,60.53652460135724,-31.811050255873585,-19.846710690443988,96.23272142341708
0.05,-0.9212746540126385,-0.7783085287674465,0.5861606570857733,0.012332042740194256,-6.329100924135826,-8.815694309838465,1.27463908834256,9.73843836247505,100.42024935373861,-45.851840171484355,-31.277742514377536,141.53569089949406
0.06,-1.149520913299458,-1.0220315335045786,0.635155335077021,0.10470532684670937,-6.815830010987383,-11.364218369537387,1.1545678092117302,13.329571050437643,141.35566862077744,-58.66695851141082,-42.61792986458935,184.8886044123109
0.07,-1.367901665656695,-1.263802515322832,0.6802695489440359,0.22011907451254453,-6.87615803814021,-13.75181609003826,0.9338610956550436,16.958751056376194,183.16031937828978,-70.04786316729216,-53.64775798287264,225.65493670775695
0.08,-1.5700813541054437,-1.5036450470467997,0.7197605703293388,0.3641927289874356,-6.431061162387611,-15.95455634983939,0.6023532339135,20.628428196787574,225.5597173407463,-79.84941229656569,-64.1278905122854,263.254010165625
0.09,-1.7493788890481594,-1.741685907032286,0.7519849783208085,0.5421400361903229,-5.414210222271137,-17.954405558392285,0.15388342531158983,24.33862598455893,268.1841047133409,-87.9953165022631,-73.80235385010775,297.1743409176084
0.1,-1.8988885726416143,-1.9781498725350934,0.7754403292801941,0.7586324084963887,-3.774304118676004,-19.739755995450693,-0.41318229799218026,28.086556146276266,310.569354101968,-94.48049396437136,-82.4025323276605,326.9844906892117
0.11,-2.011615496662932,-2.2133539609400383,0.7888028346252626,1.01767979379468,-1.4769445751089774,-21.30573094305761,-1.0955544737899556,31.866360130609394,352.16221442547226,-99.37022373711416,-89.65193332463362,352.34117036923607
0.12,-2.0806229748715053,-2.4477015662800734,0.7909607693263738,1.3225327973523051,1.4940045560111714,-22.654260580382445,-1.8847639643525664,35.668989155738856,392.3298860138438,-102.79614952522132,-95.27164782100246,372.99446730290066
0.13,-2.0991890501340484,-2.681676926423026,0.7810436809899767,1.675609074949278,5.135611532947955,-23.793931774626127,-2.767056452023048,39.48222774197309,430.37371476289735,-104.94933376203956,-98.98639961962321,388.7901867929615
0.14,-2.0609686115591384,-2.9158403075882493,0.7584477536746898,2.078446174627361,9.425643495754645,-24.73962315032565,-3.7234432509006106,43.29085893229209,465.54660857447925,-106.07069316574739,-100.53104713708977,399.66940469469176
0.15,-1.9601571806987308,-3.1508242083027196,0.7228578635028019,2.531682076547598,14.322905932509528,-25.51194390869478,-4.729909194539119,47.076962867365005,497.0736115848951,-106.43925716535507,-99.65737668460231,405.66541923840293
0.16,-1.7916520036633596,-3.3873307672518123,0.6742669230305497,3.0350636957534918,19.768137036340498,-26.136500650415687,-5.757773683127747,50.82033437848471,524.1749297932372,-106.3587762093671,-96.14100673701881,406.898364538177
0.17,-1.551205753789483,-3.6261304133208907,0.6129930475429995,3.5874826042419956,25.685422524456694,-26.643020865505044,-6.774196558680238,54.49900007741776,546.0905910663627,-106.14326597476744,-89.78820973225758,403.56780496141636
0.18,-1.2355679484830717,-3.868061628974029,0.5396949062440274,4.187036231714084,31.98408161825233,-27.06436479763249,-7.7428164277893,58.089811288317726,562.1058469312417,-106.10210517602313,-80.44245206235108,395.9436688309532
0.19,-0.842609153420819,-4.114031521775545,0.4553853730471145,4.831111855123978,38.56096209243019,-27.435459127694553,-8.624505455147368,61.56908625259547,571.5763852310018,-106.5253095023619,-67.99045439542799,384.3559026830289
0.2,-0.37142321976271736,-4.365016729654373,0.36144329805124953,5.516489823696145,45.30307184113573,-27.792186454255905,-9.378221577015964,64.91327344379361,573.9524221518362,-107.6695836744319,-52.367583262733774,369.18323488964137
0.21,0.17759680228280922,-4.622064042419612,0.2596229146081128,6.239461728298747,52.090466453910814,-28.170264007553833,-9.9619365859776,68.09960758730105,568.8007783073413,-109.74571004629534,-33.562400600530474,350.84143159977504
