0.02,-116.19,59.56,169.37,0.01,0.02,0.01,0.07,0.1,0.21,-108.63,85.43999999999998,179.5,0.02,0.03,0.02,0.06,0.1,0.11,-177.44,4.25,2.37,0.08,0.13,0.29,0.12,0.1,0.03,-143.56,24.06,14.38,0.27,0.77,0.04,0.0,0.28,0.45
0.03,-116.19,59.63,169.31,0.01,0.03,0.01,0.0899999999999999,0.14,0.21,-108.69,85.5,179.5,0.03,0.03,0.02,0.06,0.06,0.06,-177.81,4.06,2.25,0.16,0.15,0.37,0.01,0.47,0.11,-143.56,24.81,14.69,0.21,0.72,0.05,0.03,0.41,0.02
0.04,-116.12,59.63,169.31,0.02,0.04,0.04,0.2,0.17,0.25,-108.69,85.5,179.5,0.04,0.03,0.02,0.12,0.03,0.14,-178.25,3.87,2.06,0.22,0.14,0.38,0.06,0.52,0.08,-143.62,25.62,14.94,0.16,0.74,0.15,0.08,0.31,0.05
0.05,-116.12,59.63,169.31,0.04,0.03,0.06,0.21,0.28,0.29,-108.69,85.56,179.56,0.03,0.03,0.01,0.13,0.0,0.14,-178.69,3.69,1.87,0.23,0.15,0.38,0.27,0.72,0.14,-143.5,26.5,15.13,0.18,0.74,0.15,0.1,0.06,0.32
0.06,-116.0,59.56,169.37,0.05,0.01,0.06,0.18,0.39,0.27,-108.69,85.62,179.56,0.01,0.02,0.02,0.05,0.05,0.18,-179.12,3.5,1.56,0.28,0.2,0.37,0.18,0.51,0.1,-143.44,27.25,15.44,0.22,0.68,0.05,0.44,0.22,0.81
0.07,-115.88,59.5,169.5,0.05,0.01,0.05,0.18,0.42,0.3,-108.69,85.62,179.56,0.04,0.02,0.01,0.19,0.05,0.17,-179.5,3.25,1.25,0.32,0.21,0.34,0.04,0.57,0.17,-143.56,27.62,15.63,0.24,0.57,0.06,0.23,0.0,0.73
0.08,-115.62,59.38,169.69,0.08,0.04,0.04,0.23,0.38,0.19,-108.63,85.81,179.5,0.01,0.12,0.03,0.08,0.02,0.12,-179.94,2.75,0.44,0.32,0.19,0.11,0.04,0.49,0.16,-143.62,28.19,16.0,0.23,0.53,0.04,0.2,0.16,0.71
0.09,-115.37,59.25,169.87,0.0899999999999999,0.07,0.04,0.24,0.35,0.17,-108.69,85.93999999999998,179.5,0.01,0.0899999999999999,0.03,0.11,0.06,0.36,-180.06,2.56,0.47,0.36,0.21,0.1,0.12,0.58,0.02,-143.62,28.75,16.37,0.24,0.52,0.0,0.18,0.33,0.77
0.1,-115.19,59.13,170.06,0.08,0.11,0.03,0.22,0.26,0.16,-108.69,86.0,179.5,0.02,0.1,0.05,0.18,0.0899999999999999,0.34,-180.19,2.31,0.5,0.44,0.25,0.11,0.05,0.39,0.26,-143.62,29.31,16.69,0.22,0.53,0.25,0.32,0.21,1.0
0.11,-115.06,58.94,170.25,0.08,0.16,0.02,0.21,0.17,0.16,-108.69,86.18999999999998,179.44,0.05,0.12,0.06,0.15,0.12,0.24,-180.37,2.06,0.94,0.43,0.24,0.12,0.11,0.14,0.18,-143.31,29.94,16.81,0.14,0.49,0.43,0.28,0.12,0.2
