0.02,-116.19,59.56,169.37,-108.63,85.43999999999998,179.5,-177.44,4.25,2.37,-143.56,24.06,14.38
0.03,-116.19,59.63,169.31,-108.69,85.5,179.5,-177.81,4.06,2.25,-143.56,24.81,14.69
0.04,-116.12,59.63,169.31,-108.69,85.5,179.5,-178.25,3.87,2.06,-143.62,25.62,14.94
0.05,-116.12,59.63,169.31,-108.69,85.56,179.56,-178.69,3.69,1.87,-143.5,26.5,15.13
0.06,-116.0,59.56,169.37,-108.69,85.62,179.56,-179.12,3.5,1.56,-143.44,27.25,15.44
0.07,-115.88,59.5,169.5,-108.69,85.62,179.56,-179.5,3.25,1.25,-143.56,27.62,15.63
0.08,-115.62,59.38,169.69,-108.63,85.81,179.5,-179.94,2.75,0.44,-143.62,28.19,16.0
0.09,-115.37,59.25,169.87,-108.69,85.93999999999998,179.5,-180.06,2.56,0.47,-143.62,28.75,16.37
0.1,-115.19,59.13,170.06,-108.69,86.0,179.5,-180.19,2.31,0.5,-143.62,29.31,16.69
0.11,-115.06,58.94,170.25,-108.69,86.18999999999998,179.44,-180.37,2.06,0.94,-143.31,29.94,16.81
0.12,-114.94,58.81,170.31,-108.69,86.31,179.38,-180.5,1.75,1.37,-142.62,31.37,16.44
0.13,-114.62,58.25,170.81,-108.69,86.5,179.31,-180.75,1.5,1.81,-142.25,32.06,16.19
0.14,-114.5,57.88,171.13,-108.63,86.68999999999998,179.31,-181.0,1.19,2.25,-142.25,32.63,16.0
0.15,-114.37,57.44,171.5,-108.56,87.06,179.31,-181.12,1.06,2.5,-142.25,33.13,16.0
0.16,-114.25,56.94,171.81,-108.44,87.37,179.38,-181.56,0.37,3.37,-142.5,33.75,16.25
0.17,-114.25,56.44,172.13,-108.37,87.68999999999998,179.38,-181.69,0.405,3.87,-142.87,34.31,16.69
0.18,-114.31,55.88,172.44,-108.31,88.0,179.38,-181.56,0.44,4.5,-143.19,34.75,17.12
0.19,-114.5,55.31,172.69,-108.31,88.37,179.38,-181.37,1.0,5.25,-143.62,35.13,17.56
0.2,-115.06,54.06,173.13,-108.31,89.25,179.5,-181.31,1.44,6.0,-143.87,35.5,18.0
0.21,-115.37,53.38,173.31,-108.31,89.56,179.63,-181.25,1.87,6.69,-144.25,35.75,18.44
0.22,-116.56,51.63,173.62,-108.37,89.37,179.63,-181.44,2.12,7.309999999999999,-144.37,35.94,18.75
0.23,-117.13,50.81,173.81,-108.44,89.12999999999998,179.69,-181.75,2.25,7.809999999999999,-144.25,36.25,19.0
0.24,-117.62,50.19,173.94,-108.5,88.43999999999998,179.87,-182.0,2.25,8.189999999999998,-144.25,36.63,19.31
0.25,-118.06,49.56,174.12,-108.56,87.75,179.94,-182.62,2.31,9.13,-143.75,37.13,19.69
0.26,-118.62,48.94,174.31,-108.69,87.0,179.81,-183.0,2.37,9.63,-143.25,37.69,19.81
0.27,-119.37,48.13,174.31,-109.06,85.68999999999998,179.63,-183.37,2.37,10.13,-142.56,38.19,20.0
0.28,-120.69,46.13,174.38,-109.31,85.0,179.56,-183.69,2.44,10.69,-141.69,38.63,20.19
0.29,-121.19,45.31,174.31,-110.19,83.81,179.5,-183.81,2.5,11.19,-140.94,39.0,20.44
0.3,-121.37,44.69,174.38,-110.88,83.25,179.56,-183.81,2.62,11.5,-139.75,39.56,20.62
0.31,-121.37,44.31,174.44,-111.62,82.56,176.56,-183.44,2.75,11.63,-139.12,39.94,20.56
0.32,-121.18,44.0,174.56,-112.25,81.75,176.75,-182.94,2.94,11.69,-138.06,40.81,20.12
0.33,-120.93,43.63,174.69,-112.88,80.81,176.94,-182.44,3.25,11.69,-136.69,41.69,20.06
0.34,-120.68,43.13,174.87,-113.37,79.93999999999998,177.0,-181.87,3.62,11.56,-136.12,42.56,20.44
0.35,-120.37,42.5,175.12,-113.75,79.18999999999998,177.12,-181.25,4.0,11.25,-135.81,43.13,21.37
0.36,-120.18,41.81,175.56,-114.06,77.81,177.38,-180.81,4.31,11.0,-136.0,43.44,22.56
0.37,-120.06,40.88,176.06,-114.0,77.12,177.44,-180.12,5.12,10.75,-136.81,43.81,23.81
0.38,-120.06,39.94,176.12,-113.81,76.62,177.62,-179.81,5.56,10.56,-137.0,44.38,25.0
0.39,-120.06,39.31,175.87,-113.69,76.18999999999998,178.06,-179.75,5.94,10.25,-137.5,44.94,26.0
0.4,-119.87,37.88,175.0,-113.56,75.81,178.38,-179.87,6.25,9.94,-137.31,45.63,26.69
0.41,-120.0,36.81,174.5,-113.31,75.43999999999998,178.56,-180.12,6.37,9.69,-137.69,46.69,27.94
0.42,-120.18,35.88,174.38,-113.12,75.31,178.56,-180.37,6.44,9.5,-137.81,47.13,28.75
0.43,-120.37,35.06,174.56,-112.69,74.93999999999998,178.56,-180.63,6.56,9.38,-138.37,47.62,29.81
0.44,-120.56,34.13,174.87,-112.37,74.5,178.69,-181.0,6.81,9.25,-138.5,48.19,30.88
0.45,-120.74,33.25,175.0,-112.25,73.93999999999998,179.0,-181.5,7.19,9.13,-138.75,48.75,31.81
0.46,-120.87,32.5,174.94,-112.31,73.18999999999998,179.12,-182.44,8.06,8.75,-139.19,49.25,32.5
0.47,-121.0,31.81,174.87,-112.69,71.87,179.81,-183.0,8.439999999999998,8.38,-139.19,49.69,33.06
0.48,-121.18,31.06,174.75,-113.19,71.25,179.5,-183.44,8.88,7.94,-139.19,49.88,33.31
0.49,-121.43,30.12,174.62,-113.81,70.5,178.81,-183.69,9.13,7.809999999999999,-139.81,50.31,33.88
