time,elbow_angle,shoulder_flex_angle,shoulder_add_angle,lumbar_angle,elbow_velocity,shoulder_flex_velocity,shoulder_add_velocity,lumbar_velocity,elbow_acceleration,shoulder_flex_acceleration,shoulder_add_acceleration,lumbar_acceleration
0.02,0.5759980907921062,-0.2542236411741488,-0.06714406636283778,-0.05728105638345485,0.5232352636831109,0.04475281046818134,-0.0767275214142728,0.003805502101784691,-1.6583522101428552,-0.23783998845324458,0.09976477886305408,-0.018932662258577926
0.03,0.5871305215708109,-0.25619460893774393,-0.06977464876661954,-0.05065976441642409,0.601153185185937,0.016055670259589948,-0.053458379373254546,0.04604477201529099,-5.605264408992587,-0.6607100670425398,0.7757358954705231,0.07332451777240485
0.04,0.600155266700445,-0.25805885374923504,-0.07218882270934639,-0.04412950537996102,0.6553902456686429,-0.014924590543367646,-0.026259254987578168,0.08725655655967077,-9.581979280027824,-1.0779635716745333,1.462243062293882,0.159651424370727
0.05,0.6147461278119842,-0.2598139606293713,-0.07430437355557648,-0.037767326002279,0.6780710688879866,-0.04796464811801204,0.005048021666389214,0.12649214888750376,-13.518642053994757,-1.4743958084233506,2.136445279580457,0.23489749030633664
0.06,0.6304763380680766,-0.2614678781882731,-0.07603903873813901,-0.03164507883465739,0.6621843920832841,-0.08273255487578282,0.04045014433349559,0.1628619679774798,-17.337873712526772,-1.8346604358216116,2.7742512794097767,0.29443610212109506
0.07,0.6468218668414313,-0.26303903161222203,-0.07731359030662123,-0.025827472454319215,0.601909651779115,-0.11878037151333917,0.0797115479669291,0.19556388743578818,-20.95576575182951,-2.1436783012805862,3.350835258269946,0.33435242708290447
0.08,0.6631686170091509,-0.2645557641557208,-0.07805521655757554,-0.02037043011885384,0.4929200646405346,-0.15553939016902063,0.12234879967679523,0.2239077295583284,-24.28318890323467,-2.3870457048226017,3.841188969047113,0.3515986343106648
0.1,0.6788237436336793,-0.26605506379753513,-0.07820112534961104,-0.015319819525940328,0.3326512255521277,-0.19231842664475146,0.16761146576732666,0.24733498724814607,-27.227405783872104,-2.551431025083873,4.220698938987528,0.3441097166142876
0.11,0.6930312059977526,-0.26758056359634586,-0.07770227807691073,-0.010710595448027417,0.12052526559042,-0.22830562516602967,0.21447054976784244,0.26543312180279494,-29.69396186368862,-2.624949380995309,4.465737046693866,0.31087540058624646
0.12,0.7049915368689964,-0.2691798411986775,-0.07652715203508621,-0.006566375099041719,-0.1418780279512371,-0.2625741568616147,0.26161534702802064,0.27794408257432257,-31.588813375806144,-2.5975059431379286,4.554252276568895,0.25196602875943536
0.14,0.7138856764004959,-0.27090108333604335,-0.0746654206241523,-0.0028994443793796797,-0.45071008270449386,-0.294092101188329,0.30745928214348794,0.28476698439774084,-32.820635739778695,-2.4610995784856584,4.466351152795674,0.16851264957179662
0.15,0.7189025754941224,-0.27278922261586763,-0.07213143593525341,0.0002888272197420883,-0.799807482654263,-0.32173667881098095,0.35015499736858363,0.2859551448149821,-33.30324255115374,-2.2100796581337914,4.184854138142604,0.06264373009029339
0.17,0.719270127787199,-0.2748816940373169,-0.0689673971784256,0.0030072032174592814,-1.180714013194559,-0.34431285837778164,0.38761865379258187,0.2817079144302128,-32.95803398649401,-1.8413500437981045,3.6958151840153346,-0.06261718481942952
0.18,0.7142888442884562,-0.2772039950959231,-0.06524609144127991,0.005273483087900475,-1.5827716869654105,-0.36057619370732674,0.41756310243753497,0.2723579229380271,-31.71638525799097,-1.3545154714063194,2.9889916664122804,-0.20348697610893962
0.19,0.7033675426734612,-0.27976526316719813,-0.06107310040105705,0.007113157264355369,-1.9932794257810753,-0.3692595693805944,0.43753928928805164,0.258354506457391,-29.52188110636557,-0.7519667545418318,2.0582521748703115,-0.3555845484926188
0.2,0.6860601854857338,-0.2825541034689761,-0.056588377436507846,0.008557886777910244,-2.3977158931669615,-0.36910335027033325,0.44498498593740604,0.24024417781799814,-26.332301720814165,-0.03890243145699726,0.9019100821195786,-0.5141106914578605
0.21,0.662102869788149,-0.2855349070591899,-0.05196711358323943,0.00964388294106111,-2.780020878944082,-0.3588882535896265,0.4372796946048618,0.2186490519760448,-22.121269245047756,0.7767143219395982,-0.47702844274809136,-0.6740380280062817
