39,38,204
36,42,195
31,49,182
35,59,206
37,60,238
55,63,202
65,38,154
52,24,119
42,28,112
59,47,181
63,79,264
70,72,284
119,77,308
118,75,325
126,96,353
235,106,381
299,104,432
295,119,393
202,109,353
146,118,416
195,154,446
199,206,514
221,246,663
188,194,714
157,178,740
134,148,534
174,141,551
173,124,380
247,142,576
221,135,457
224,143,502
260,125,470
227,151,429
299,107,302
323,100,283
347,59,210
348,62,189
461,57,217
367,41,126
457,50,151
436,57,109
526,43,106
309,62,150
374,56,125
352,56,100
357,42,107
371,40,109
403,63,81
400,58,90
351,36,79
368,17,69
469,24,86
285,17,78
407,20,78
362,19,80
280,22,89
385,21,107
501,23,91
351,25,122
440,22,107
235,30,126
191,32,93
120,29,98
114,21,92
54,24,68
59,21,68
65,16,65
78,14,75
82,16,93
79,22,94
77,19,92
65,18,78
91,13,67
42,10,69
44,11,64
43,20,68
33,27,59
32,8,57
31,0,54
26,0,54
18,0,53
16,0,58
14,150,56
7,8,44
7,5,40
5,4,35
0,0,30
0,2,29
0,1,29
0,0,30
0,0,33
0,0,29
0,0,29
0,0,28
0,0,29
0,0,29
0,0,29
0,0,32
0,0,29
0,0,29
0,0,29
0,0,29
0,0,30
0,0,30
0,0,29
0,0,29
0,0,29
0,0,29
0,0,29
0,0,28
0,0,31
0,0,29
0,0,28
0,0,29
0,0,29
0,0,30
0,0,30
0,0,31
0,0,29
0,0,29
0,0,29
0,0,29
0,0,28
0,0,28
0,0,29
0,0,24
0,0,21
0,0,20
0,0,21
0,0,20
0,0,21
0,0,26
0,0,21
0,0,22
0,0,22
0,0,19
0,0,20
0,0,20
0,0,19
0,0,20
0,0,20
0,0,21
0,0,22
0,0,22
0,0,25
0,0,21
0,0,21
0,0,21
0,0,21
0,0,23
0,0,23
0,0,28
0,0,24
0,0,24
0,0,21
0,0,21
0,0,21
0,0,23
0,0,22
0,0,23
0,0,24
