0.28,-6.44,85.31,177.87,0.0,0.0,0.0,-86.75,83.06,15.31,0.01,0.03,0.01,-176.03,5.81,6.62,0.005,0.0,0.015,-131.87,18.94,12.56,0.01,0.01,0.0
0.29,-6.44,85.31,177.87,0.0,0.01,0.0,-86.75,83.09,15.31,0.005,0.02,0.01,-176.0,5.81,6.62,0.01,0.0,0.0,-131.87,18.94,12.56,0.01,0.01,0.01
0.3,-6.44,85.31,177.87,0.01,0.01,0.0,-86.75,83.12,15.31,0.0,0.01,0.01,-176.0,5.81,6.62,0.02,0.0,0.01,-131.87,18.94,12.56,0.01,0.0,0.01
0.31,-6.44,85.31,177.87,0.02,0.01,0.0,-86.68999999999998,83.18999999999998,15.31,0.01,0.01,0.01,-176.0,5.81,6.69,0.01,0.0,0.01,-131.87,18.94,12.63,0.02,0.0,0.0
0.32,-6.44,85.31,177.87,0.02,0.01,0.0,-86.68999999999998,83.18999999999998,15.31,0.0,0.02,0.01,-176.0,5.81,6.69,0.01,0.01,0.0,-131.87,18.94,12.63,0.01,0.0,0.0
0.33,-6.37,85.31,177.87,0.01,0.01,0.0,-86.68999999999998,83.18999999999998,15.31,0.0,0.02,0.01,-176.0,5.81,6.62,0.0,0.0,0.01,-131.87,18.94,12.63,0.01,0.01,0.0
0.34,-6.37,85.31,177.87,0.0,0.01,0.0,-86.68999999999998,83.25,15.31,0.01,0.06,0.02,-176.0,5.81,6.62,0.0,0.01,0.02,-131.87,18.94,12.63,0.005,0.01,0.005
0.35,-6.37,85.37999999999998,177.87,0.0,0.01,0.0,-86.68999999999998,83.31,15.25,0.0,0.06,0.03,-176.0,5.81,6.62,0.0,0.01,0.02,-131.87,18.94,12.63,0.0,0.01,0.01
0.36,-6.37,85.37999999999998,177.87,0.01,0.01,0.0,-86.62999999999998,83.37,15.25,0.01,0.03,0.02,-175.94,5.87,6.62,0.01,0.01,0.03,-131.87,18.94,12.63,0.01,0.01,0.02
0.37,-6.37,85.37999999999998,177.87,0.01,0.01,0.0,-86.62999999999998,83.43999999999998,15.25,0.01,0.04,0.01,-175.94,5.87,6.62,0.0,0.02,0.02,-131.87,18.94,12.63,0.01,0.01,0.02
0.38,-6.37,85.37999999999998,177.87,0.02,0.01,0.0,-86.56,83.5,15.18,0.05,0.01,0.02,-175.94,5.87,6.62,0.0,0.01,0.0,-131.87,18.87,12.63,0.02,0.02,0.01
0.39,-6.37,85.37999999999998,177.87,0.02,0.02,0.01,-86.5,83.5,15.18,0.07,0.01,0.02,-175.94,5.94,6.62,0.01,0.0,0.02,-131.87,18.87,12.69,0.02,0.03,0.01
0.4,-6.31,85.43999999999998,177.87,0.01,0.02,0.01,-86.43999999999998,83.56,15.18,0.05,0.04,0.01,-175.94,5.94,6.62,0.0,0.01,0.03,-131.87,18.81,12.69,0.02,0.03,0.03
0.41,-6.31,85.43999999999998,177.94,0.01,0.03,0.01,-86.43999999999998,83.56,15.18,0.03,0.0,0.01,-176.0,5.94,6.62,0.0,0.01,0.02,-131.81,18.81,12.69,0.0,0.02,0.04
0.42,-6.31,85.5,177.94,0.01,0.03,0.02,-86.43999999999998,83.56,15.18,0.02,0.1,0.03,-175.94,5.87,6.56,0.04,0.0,0.08,-131.75,18.87,12.63,0.01,0.02,0.05
0.43,-6.31,85.5,177.94,0.01,0.04,0.01,-86.43999999999998,83.68999999999998,15.25,0.05,0.15,0.02,-175.78,5.905,6.529999999999999,0.06,0.01,0.125,-131.69,18.87,12.63,0.02,0.01,0.07
0.44,-6.25,85.56,177.94,0.02,0.03,0.02,-86.56,83.87,15.31,0.03,0.13,0.03,-175.62,5.94,6.5,0.08,0.02,0.17,-131.5,18.965,12.5,0.0399999999999999,0.0199999999999999,0.155
0.45,-6.25,85.56,178.0,0.02,0.03,0.02,-86.68999999999998,84.0,15.37,0.06,0.12,0.04,-175.44,5.94,6.44,0.08,0.02,0.22,-131.31,19.06,12.37,0.06,0.03,0.24
0.46,-6.19,85.62,178.0,0.04,0.02,0.01,-86.81,84.12999999999998,15.43,0.08,0.14,0.03,-175.095,5.875,6.405,0.07,0.025,0.285,-131.06,19.19,12.19,0.06,0.07,0.25
0.47,-6.095000000000001,85.62,178.0,0.045,0.01,0.01,-86.965,84.375,15.43,0.105,0.22,0.02,-174.75,5.81,6.37,0.06,0.03,0.35,-130.845,19.47,12.035,0.06,0.115,0.215
0.48,-6.0,85.62,178.0,0.05,0.0,0.01,-87.12,84.62,15.43,0.13,0.3,0.01,-174.31,5.75,6.31,0.04,0.06,0.35,-130.63,19.75,11.88,0.06,0.16,0.18
0.49,-6.0,85.62,178.0,0.02,0.0,0.01,-87.25,84.93999999999998,15.5,0.14,0.32,0.0,-173.94,5.62,6.31,0.03,0.06,0.33,-130.44,20.06,11.81,0.03,0.2,0.13
0.5,-6.0,85.62,178.0,0.01,0.02,0.01,-87.47,85.25,15.5,0.175,0.32,0.005,-173.62,5.5,6.37,0.04,0.0899999999999999,0.27,-130.37,20.31,11.75,0.03,0.2,0.05
0.51,-6.0,85.56,178.0,0.01,0.03,0.0,-87.68999999999998,85.56,15.5,0.21,0.32,0.01,-173.38,5.37,6.44,0.07,0.1,0.24,-130.44,20.56,11.75,0.01,0.21,0.04
0.52,-6.0,85.56,178.0,0.03,0.03,0.02,-88.0,85.87,15.5,0.23,0.32,0.0,-173.13,5.25,6.56,0.0899999999999999,0.11,0.18,-130.56,20.75,11.75,0.0,0.21,0.0899999999999999
0.53,-6.06,85.5,177.94,0.05,0.04,0.02,-88.25,86.18999999999998,15.5,0.25,0.32,0.01,-173.0,5.06,6.69,0.11,0.13,0.12,-130.63,20.88,11.81,0.01,0.2,0.0899999999999999
0.54,-6.19,85.43999999999998,177.94,0.05,0.08,0.01,-88.5,86.5,15.5,0.25,0.33,0.01,-172.875,4.904999999999999,6.815,0.095,0.13,0.135,-130.75,21.06,11.88,0.01,0.19,0.08
0.55,-6.25,85.31,177.87,0.07,0.0899999999999999,0.02,-88.75,86.87,15.43,0.23,0.38,0.01,-172.75,4.75,6.94,0.08,0.13,0.15,-130.81,21.25,11.94,0.02,0.18,0.06
0.56,-6.37,85.18999999999998,177.87,0.1,0.11,0.02,-89.0,87.18999999999998,15.43,0.22,0.42,0.0,-172.56,4.62,7.0,0.05,0.12,0.19,-130.94,21.44,12.0,0.02,0.18,0.05
0.57,-6.5,85.06,177.87,0.13,0.13,0.02,-89.12999999999998,87.37,15.43,0.21,0.46,0.0,-172.31,4.495,7.029999999999999,0.035,0.095,0.225,-131.0,21.56,12.06,0.01,0.16,0.02
0.58,-6.69,84.93999999999998,177.87,0.15,0.15,0.01,-89.345,87.655,15.4,0.2,0.4649999999999999,0.005,-172.06,4.37,7.06,0.02,0.07,0.26,-131.0,21.75,12.06,0.0,0.15,0.0
0.59,-6.87,84.75,177.87,0.17,0.16,0.01,-89.56,87.93999999999998,15.37,0.19,0.47,0.01,-171.87,4.25,7.06,0.03,0.08,0.17,-131.0,21.87,12.06,0.05,0.13,0.03
0.6,-7.12,84.62,177.87,0.2,0.16,0.03,-89.81,88.12,15.37,0.19,0.47,0.02,-171.75,4.12,7.12,0.07,0.11,0.05,-131.06,22.06,12.0,0.0899999999999999,0.14,0.07
0.61,-7.309999999999999,84.43999999999998,177.87,0.21,0.18,0.03,-90.0,88.06,15.37,0.19,0.47,0.025,-171.75,4.06,7.25,0.06,0.0899999999999999,0.06,-131.19,22.19,11.94,0.1,0.14,0.1
