0.01,329.63,54.69,117.06,8.04,5.48,2.15,0.06,0.01,0.04,45.75,33.38,0.00,0.04,0.43,0.42,0.59,0.58,0.54,0.16
0.02,136.12,11.38,21.06,1.99,3.31,8.92,0.01,0.04,0.02,1.37,6.37,52.00,0.05,0.15,0.04,0.37,0.03,0.21,0.91
0.03,136.12,11.44,21.06,1.94,3.26,8.93,0.01,0.05,0.01,1.00,6.00,52.00,0.01,0.17,0.00,0.37,0.03,0.21,0.91
0.04,136.19,11.44,21.12,1.86,3.31,8.97,0.03,0.05,0.03,1.00,6.00,52.00,0.10,0.14,0.02,0.36,0.03,0.21,0.91
0.05,136.25,11.50,21.19,1.81,3.30,8.99,0.03,0.06,0.03,1.00,6.00,52.00,0.14,0.16,0.03,0.36,0.03,0.21,0.91
0.06,136.25,11.56,21.19,1.77,3.21,8.97,0.02,0.05,0.02,1.00,6.75,52.38,0.19,0.26,0.02,0.36,0.03,0.21,0.91
0.07,136.31,11.56,21.19,1.81,3.16,8.99,0.01,0.03,0.04,1.00,6.75,52.38,0.16,0.33,0.00,0.36,0.03,0.21,0.91
0.08,136.37,11.50,21.19,1.82,3.27,9.01,0.01,0.00,0.07,18.00,2.00,39.25,0.13,0.20,0.05,0.36,0.03,0.21,0.91
0.09,136.44,11.44,21.12,1.82,3.30,9.00,0.00,0.02,0.06,18.00,2.00,39.25,0.12,0.17,0.04,0.36,0.03,0.21,0.91
0.10,136.50,11.44,21.12,1.84,3.29,9.00,0.02,0.03,0.04,18.00,2.00,39.25,0.10,0.17,0.04,0.36,0.03,0.21,0.91
0.11,136.50,11.38,21.12,1.86,3.27,9.02,0.03,0.04,0.02,18.00,2.00,39.19,0.07,0.19,0.05,0.36,0.03,0.21,0.91
0.12,136.50,11.31,21.06,1.90,3.28,9.01,0.04,0.05,0.02,18.00,2.00,39.19,0.01,0.17,0.04,0.36,0.03,0.20,0.91
0.13,136.56,11.25,21.00,1.90,3.29,9.01,0.04,0.05,0.03,17.50,1.56,39.88,0.01,0.10,0.01,0.36,0.03,0.20,0.91
0.14,136.56,11.19,20.94,1.90,3.38,9.01,0.05,0.06,0.04,17.50,1.56,39.88,0.04,0.03,0.05,0.36,0.03,0.20,0.91
0.15,136.62,11.12,20.94,1.95,3.48,9.13,0.04,0.06,0.04,17.50,1.56,39.88,0.07,0.05,0.15,0.36,0.03,0.20,0.91
0.16,136.62,11.06,20.88,1.96,3.50,9.13,0.03,0.06,0.03,18.37,2.00,39.38,0.08,0.07,0.13,0.36,0.03,0.20,0.91
0.17,136.69,10.94,20.81,1.98,3.50,9.05,0.03,0.05,0.02,18.37,2.00,39.38,0.11,0.07,0.06,0.36,0.02,0.20,0.91
0.18,136.69,10.94,20.81,1.97,3.48,9.03,0.02,0.05,0.02,18.25,1.56,37.38,0.12,0.05,0.03,0.36,0.02,0.20,0.91
0.19,136.69,10.88,20.81,1.96,3.49,8.92,0.01,0.05,0.03,18.25,1.56,37.38,0.07,0.07,0.08,0.36,0.02,0.20,0.91
0.20,136.75,10.81,20.81,1.86,3.49,8.90,0.00,0.05,0.04,18.25,1.56,37.38,0.01,0.07,0.10,0.36,0.02,0.20,0.91
0.21,136.75,10.75,20.81,1.75,3.56,8.90,0.00,0.05,0.06,18.00,1.56,38.69,0.08,0.19,0.18,0.36,0.02,0.20,0.91
0.22,136.88,10.63,20.81,1.64,3.64,8.72,0.01,0.06,0.08,18.00,1.56,38.69,0.22,0.17,0.18,0.36,0.02,0.20,0.91
0.23,136.94,10.50,20.88,1.58,3.57,8.94,0.01,0.06,0.10,18.00,1.56,38.69,0.21,0.13,0.06,0.36,0.02,0.20,0.91
0.25,137.19,10.25,21.00,1.63,3.70,9.02,0.04,0.08,0.09,18.37,1.19,39.50,0.08,0.25,0.02,0.36,0.02,0.20,0.91
0.26,137.25,10.13,21.06,1.68,3.70,9.04,0.07,0.10,0.06,18.69,2.25,38.25,0.04,0.22,0.04,0.36,0.02,0.20,0.91
0.28,137.12,9.94,21.25,1.82,3.36,9.09,0.09,0.11,0.06,18.69,2.25,38.25,0.13,0.13,0.09,0.36,0.02,0.20,0.91
0.29,137.06,9.81,21.31,1.89,3.38,9.13,0.09,0.13,0.04,18.69,1.19,39.50,0.21,0.13,0.14,0.36,0.01,0.20,0.91
0.30,137.00,9.69,21.44,1.96,3.27,9.07,0.09,0.13,0.03,18.69,1.19,39.50,0.39,0.19,0.11,0.36,0.01,0.20,0.91
0.31,136.88,9.63,21.44,2.05,3.36,9.10,0.07,0.12,0.03,19.69,2.00,38.69,0.41,0.17,0.10,0.36,0.01,0.20,0.91
0.32,136.81,9.56,21.50,2.06,3.27,9.06,0.06,0.11,0.04,19.69,2.00,38.69,0.42,0.26,0.07,0.36,0.01,0.20,0.91
0.33,136.75,9.56,21.44,2.09,3.34,9.21,0.03,0.09,0.05,19.69,2.00,38.69,0.46,0.19,0.21,0.36,0.01,0.20,0.91
0.34,136.62,9.56,21.44,2.04,3.22,9.20,0.02,0.06,0.05,20.37,2.06,40.00,0.40,0.30,0.20,0.36,0.01,0.20,0.91
0.35,136.56,9.56,21.37,2.00,3.28,9.26,0.01,0.05,0.02,20.37,2.06,40.00,0.36,0.24,0.26,0.36,0.01,0.20,0.91
0.36,136.56,9.56,21.31,1.98,3.36,9.29,0.01,0.03,0.01,20.56,2.00,39.00,0.34,0.15,0.28,0.36,0.01,0.20,0.91
0.37,136.56,9.63,21.31,1.89,3.42,9.18,0.00,0.01,0.00,20.56,2.00,39.00,0.25,0.09,0.17,0.36,0.01,0.20,0.91
0.38,136.56,9.63,21.31,1.85,3.42,9.13,0.01,0.01,0.01,20.56,2.00,39.00,0.20,0.08,0.12,0.36,0.01,0.20,0.91
0.39,136.56,9.63,21.25,1.76,3.42,9.11,0.02,0.01,0.00,19.37,2.00,40.00,0.11,0.08,0.10,0.36,0.01,0.20,0.91
0.40,136.56,9.69,21.25,1.68,3.46,9.10,0.02,0.02,0.01,19.37,2.00,40.00,0.03,0.03,0.09,0.36,0.01,0.20,0.91
0.41,136.56,9.69,21.19,1.64,3.52,9.05,0.02,0.02,0.01,19.37,2.25,40.38,0.05,0.04,0.09,0.36,0.01,0.20,0.91
0.42,136.56,9.69,21.19,1.58,3.57,9.07,0.01,0.02,0.00,19.37,2.25,40.38,0.09,0.07,0.05,0.36,0.01,0.20,0.91
0.43,136.56,9.75,21.19,1.55,3.53,9.03,0.01,0.01,0.01,19.37,2.25,40.38,0.11,0.04,0.04,0.36,0.01,0.20,0.91
0.45,136.56,9.75,21.19,1.49,3.52,8.99,0.01,0.01,0.01,19.56,2.25,39.50,0.16,0.02,0.01,0.36,0.01,0.20,0.91
0.46,136.56,9.75,21.19,1.49,3.51,8.99,0.01,0.00,0.00,19.19,1.56,38.69,0.14,0.06,0.00,0.36,0.01,0.20,0.91
0.47,136.56,9.75,21.19,1.51,3.55,9.02,0.01,0.01,0.01,19.19,1.56,38.69,0.13,0.07,0.02,0.36,0.01,0.20,0.91
0.48,136.56,9.69,21.19,1.58,3.50,9.03,0.02,0.01,0.02,19.19,1.56,38.69,0.06,0.00,0.03,0.36,0.01,0.20,0.91
0.49,136.56,9.69,21.25,1.58,3.48,9.03,0.02,0.02,0.03,19.19,2.25,41.06,0.04,0.02,0.03,0.36,0.01,0.20,0.91
0.50,136.50,9.69,21.25,1.63,3.47,9.03,0.02,0.02,0.02,19.19,2.25,41.06,0.02,0.03,0.09,0.36,0.01,0.20,0.91
0.51,136.50,9.69,21.25,1.67,3.45,9.08,0.02,0.03,0.02,19.19,2.25,41.06,0.01,0.03,0.07,0.36,0.01,0.20,0.91
0.52,136.44,9.69,21.25,1.70,3.45,9.09,0.02,0.02,0.02,19.06,2.19,39.88,0.06,0.06,0.08,0.36,0.01,0.20,0.91
0.53,136.44,9.63,21.25,1.72,3.41,9.07,0.01,0.02,0.02,19.06,2.19,39.88,0.09,0.09,0.07,0.36,0.01,0.20,0.91
0.54,136.37,9.63,21.31,1.70,3.43,9.10,0.02,0.02,0.02,19.37,2.19,39.88,0.09,0.11,0.10,0.36,0.01,0.20,0.91
0.55,136.37,9.63,21.31,1.74,3.38,9.11,0.01,0.01,0.00,19.37,2.19,39.88,0.08,0.12,0.06,0.36,0.01,0.20,0.91
0.56,136.37,9.63,21.31,1.72,3.39,9.06,0.01,0.00,0.01,19.00,2.19,41.50,0.06,0.10,0.06,0.36,0.01,0.20,0.91
0.57,136.37,9.63,21.25,1.73,3.45,9.10,0.00,0.00,0.00,19.00,2.19,41.50,0.09,0.06,0.10,0.36,0.01,0.20,0.91
0.58,136.37,9.63,21.25,1.72,3.49,9.15,0.02,0.00,0.00,19.00,2.19,41.50,0.08,0.01,0.14,0.36,0.01,0.20,0.91
0.59,136.37,9.63,21.25,1.69,3.44,9.13,0.03,0.00,0.01,19.37,2.87,39.88,0.04,0.06,0.13,0.36,0.01,0.20,0.91
0.60,136.37,9.63,21.19,1.68,3.41,9.07,0.02,0.00,0.01,19.37,2.87,39.88,0.03,0.08,0.06,0.36,0.01,0.20,0.91
0.61,136.37,9.63,21.19,1.69,3.44,9.04,0.01,0.00,0.00,19.75,1.87,39.88,0.01,0.03,0.04,0.36,0.01,0.20,0.91
0.62,136.37,9.63,21.19,1.66,3.49,9.04,0.01,0.00,0.00,19.75,1.87,39.88,0.00,0.00,0.02,0.36,0.01,0.20,0.91
0.64,136.31,9.69,21.12,1.63,3.46,9.05,0.02,0.00,0.02,19.75,2.56,39.88,0.03,0.03,0.03,0.36,0.01,0.20,0.91
0.65,136.31,9.69,21.12,1.59,3.42,9.05,0.02,0.01,0.00,19.75,2.56,39.88,0.02,0.03,0.01,0.36,0.01,0.20,0.91
0.67,136.31,9.69,21.06,1.76,3.51,9.11,0.02,0.02,0.05,19.37,2.19,39.19,0.11,0.03,0.09,0.36,0.01,0.20,0.91
0.68,136.25,9.69,21.00,1.84,3.43,9.14,0.03,0.03,0.08,19.37,2.19,39.19,0.19,0.03,0.12,0.36,0.01,0.20,0.91
0.69,136.12,9.69,20.94,1.86,3.39,9.14,0.02,0.04,0.11,20.19,1.87,39.56,0.30,0.08,0.14,0.37,0.01,0.20,0.91
0.70,136.00,9.69,20.94,2.13,3.42,9.20,0.01,0.04,0.13,20.19,1.87,39.56,0.58,0.01,0.18,0.37,0.01,0.20,0.91
0.71,135.81,9.75,20.88,2.28,3.49,9.24,0.00,0.05,0.15,20.19,1.87,39.56,0.73,0.12,0.32,0.37,0.01,0.20,0.91
0.72,135.63,9.75,20.88,2.41,3.62,9.33,0.08,0.04,0.24,19.75,1.87,39.56,0.76,0.23,0.37,0.37,0.01,0.20,0.91
0.73,135.31,9.81,20.94,2.46,3.75,9.46,0.12,0.02,0.33,19.75,1.87,39.56,0.90,0.31,0.50,0.37,0.01,0.20,0.91
0.75,134.25,10.44,21.19,2.64,3.60,9.40,0.22,0.06,0.49,19.75,2.06,40.75,0.80,0.08,0.44,0.38,0.02,0.20,0.90
0.76,133.69,10.88,21.31,2.59,3.55,9.41,0.23,0.08,0.45,19.75,2.06,40.75,0.73,0.04,0.44,0.38,0.02,0.21,0.90
