time,shoulder_flex_angle_filt,shoulder_add_angle_filt,elbow_flex_angle_filt,lumbar_angle_filt,shoulder_flex_vel_filt,shoulder_add_vel_filt,elbow_flex_vel_filt,lumbar_vel_filt,shoulder_flex_acc_filt,shoulder_add_acc_filt,elbow_flex_acc_filt,lumbar_acc_filt
0.02,-0.2574745276879172,-0.057494751226919424,0.600455069327931,-0.05697915460373537,-0.018741834622741323,-0.03362090340199672,-0.008152644778543395,0.007852724517317234,0.4311339803557521,-0.574249328291058,0.4929339107722477,0.0027896040695746176
0.03,-0.26713220135843085,-0.059805548272217846,0.6051124456149404,-0.04567130987103322,-0.0820624526415242,-0.08398858466650462,-0.006069204437299594,0.13011759623537478,1.3802176918208362,0.23466699856815276,-0.638755834168815,0.17446676171805775
0.04,-0.27642080754841036,-0.06223276507137883,0.6096131670801731,-0.03477700890110343,-0.13441420425267533,-0.12824127035796637,-0.008841587126397493,0.24253198567487103,2.266398886781565,1.1329892649951239,-1.7597053796584559,0.28169407297167565
0.05,-0.2848970450867706,-0.0646950190803338,0.6136400416269874,-0.02469056790691209,-0.16901925833570783,-0.1620486141828686,-0.021236549950013808,0.3372265070439163,3.0538604671015603,2.098643936376635,-2.8558968784032945,0.280073739765902
0.06,-0.29214838679635396,-0.0670988766452406,0.6168577231444854,-0.015747256179131953,-0.18106280552765114,-0.18177557010824524,-0.04690423946710737,0.40801058101594606,3.707430503431727,3.092021458400482,-3.9138740586019583,0.1410494878452081
0.07,-0.29781850853723746,-0.0693424276412302,0.6189267163773504,-0.00819971820913399,-0.16823829284898725,-0.18483557824972155,-0.08798331243132791,0.45092319842978534,4.1940625802156815,4.055317866450534,-4.918573947055697,-0.14391009675897923
0.08,-0.3016326960977338,-0.07132021249110725,0.6195280100441369,-0.002202438853660976,-0.1310027773270445,-0.16997327808317303,-0.1448819326545871,0.4645349123011158,4.485230730485302,4.914624591403803,-5.8512456900508045,-0.5619409094858816
0.09,-0.3034211231025927,-0.07292940966133332,0.6183959812607394,0.0021947323137494323,-0.07251494070090744,-0.1374505332528081,-0.21625242176446452,0.44997704630778734,4.560012825603999,5.584883354660041,-6.6877126003435166,-1.0803662764362398
0.1,-0.3031372873092686,-0.07407697562917072,0.6153546304708285,0.005043993675496688,0.001732170965174798,-0.08911664609693064,-0.2991522331436587,0.41070842105354305,4.408417916300652,5.977445835578484,-7.3971924863792085,-1.6509451727931614
0.11,-0.30086875568530336,-0.0746872436638415,0.61035070266911,0.006488811192160061,0.08453568527190289,-0.02835179137156647,-0.38936117597154996,0.3520597227745652,4.034369859992671,6.0096179774721445,-7.941846053996248,-2.216138584626267
0.12,-0.29683775769338505,-0.07470935257927391,0.6034770337582674,0.006746500202861785,0.167788381765326,0.04011858059116689,-0.4818072400179552,0.28061772887021097,3.457719274713732,5.615267817547595,-8.277180504921029,-2.7165033471418747
0.13,-0.2913900178788913,-0.07412380306501623,0.5949804695994124,0.0060861922441875,0.24337062567818368,0.1105317021335705,-0.5710429055394042,0.20352430662445167,2.7147272879727256,4.755366409116745,-8.353397383856747,-3.098216537879219
